quenya,english,eldamo-link,other-links,word-keys
Makili kirir orkor.,Swords cut orcs.,1.1,,"makil, kir-, orko"
I elda tuvë osto.,The elf finds (or discovers) a city.,1.1,,"elda, tuv-, osto"
Sílan.,I am shining.,1.1,,sil-
I aran tíra aiwi.,The king is watching birds.,1.1,,"aran, tir-, aiwë"
I naukor nórar.,The dwarves are running.,1.1,,"nauko, nor-"
Atani samir köar.,Men have houses.,1.1,,"atan, sam-, köa"
Tirin eleni.,I watch stars.,1.1,,"tir-, elen"
I aiwi lorir.,The birds sleep.,1.1,,"aiwë, lor-"
Samin aiwë.,I have a bird.,1.1,,"sam-, aiwë"
I eleni silir.,The stars shine.,1.1,,"elen, sil-"
Orko kirë i taurë.,An orc cuts the forest.,1.1,,"orko, kir-, taurë"
I hesto lóra.,The captain is sleeping.,1.1,,"hesto, lor-"
Aiwi mátar.,Birds are eating.,1.1,,"aiwë, mat-"
Tíran i köa.,I am watching the house.,1.1,,"tir-, köa"
I atani tuvir i eldar.,The men find (or discover) the elves.,1.1,,"atan, tuv-, elda"
Eldar ménar.,Elves are going.,1.1,,"elda, men-"
Nóras.,He/she is running.,1.2,,nor-
Tíralyë köanya.,You are watching my house.,1.2,,"tir-, lye, köa"
kirin lye.,I cut you.,1.2,,"kir-, lye"
Makilelyar sílar.,Your swords are shining.,1.2,,"makil, -(e)lya, sil-"
Mátalyes.,You are eating it.,1.2,,"mat-, lye, se"
Aranya ména.,His king is going.,1.2,,"aran, -(r)ya, men-"
Tuvinyë i taurë.,I find the forest.,1.2,,"tuv-, -n(yë), taurë"
I elda tiret.,The elf watches them.,1.2,,"elda, tir-"
Samil (or Samilyë) makilinya.,You have my sword.,1.2,,"sam-, -l(yë), makil, -(i)nya"
I hesto tuvë taurelyar.,The captain finds your forests.,1.2,,"hesto, tuv-, taurë, -(e)lya"
I elda tirë ostorya.,The elf watches his/her city.,1.2,,"elda, tir-, osto, -(r)ya"
Ménan or Ménanyë.,I am going.,1.2,,"men-, -n(yë)"
I nauko tuvë ni.,The dwarf finds me.,1.2,,"nauko, tuv-, ni"
Lóras or Lórassë.,He/she is sleeping.,1.2,,"lor-, -s(së)"
Orko mátas or Orko máta se.,An orc is eating him/her.,1.2,,"orko, mat-, se"
Aranyar norir.,His kings run.,1.2,,"aran, -(r)ya, nor-"
I turkë atani kirir i taurë sí.,The strong men cut the forest now.,1.3,,"turka, atan, kir-, taurë, sí"
Orko linquë.,An orc [is] wet.,1.3,,"orko, linquë"
Luinë aiwë lóra.,A blue bird is sleeping.,1.3,,luinë
I aran oialë tirë i osto.,The king forever watches the city.,1.3,,"aran, oialë, tir-, osto"
kirin i linta orko.,I cut the swift orc.,1.3,,"kir-, linta, orko"
kirin linta i orko.,I cut swift[ly] the orc.,1.3,,"kir-, linta, orko"
I eldar tírar i alkarin elen.,The elves are watching the glorious star.,1.3,,"elda, tir-, alkarin, elen"
Nalyë halla nauko.,You are a tall dwarf.,1.3,,"-l(yë), halla, nauko"
Aiwi menir palan.,Birds go far.,1.3,,"aiwë, men-, palan"
I qualini orkor luini.,The dead orcs are blue.,1.3,,"qualin, orko, luinë"
I hesto lorë mai.,The captain sleeps well.,1.3,,"hesto, lor-, mai"
I mai melda aran máta.,The well loved king is eating.,1.3,,"mai, melda, aran, mat-"
I atan nóra i orkollor.,The man is running from the orcs.,1.4,,"atan, nor-, orko, -(e)llo"
Aiwi lórar i tauressë.,Birds are sleeping in the forest.,1.4,,"aiwë, lor-, taurë"
Naukor nu i ambor.,Dwarves [are] under the hills.,1.4,,"nauko, nu, ambo"
I eleni silir menelessë.,The stars shine in the heavens.,1.4,,"elen, sil-, menel, -(e)ssë"
I hesto atanion ú makilo.,The captain of men [is] without a sword.,1.4,,"hesto, atan, ú, makil"
I aran sí menë ostoryanna.,The king now goes to his city.,1.4,,"aran, sí , men-, osto, -(r)ya, -(e)nna"
I orko turka ve anga.,The orc [is] strong like iron.,1.4,,"orko, turka, ve, anga"
I atani menir et i ostollo.,The men go out from the city.,1.4,,"atan, men-, et, osto, -(e)llo"
I nauko samë makil ango.,The dwarf has a sword of iron.,1.4,,"nauko, sam-, makil, anga"
Menel or i ambor.,The sky [is] above the hills.,1.4,,"menel, or, ambo"
Mátan mindoninyassë or Mátan mi mindoninya.,I am eating in my tower.,1.4,,"mat-, mindon, -(i)nya, mi, -(e)ssë"
Qualini eldar lorir oialë i ambossen.,Dead elves sleep forever in the hills.,1.4,,"qualin, elda, lor-, oialë, ambo, -(e)ssë"
I atan ar i nauko samir makili.,The man and the dwarf have swords.,1.5,,"atan, ar, nauko, sam-, makil"
Makili i kirir orkor silir luini.,Swords that cut orcs shine blue[ly].,1.5,,"makil, kir-, orko, sil-, luinë"
Samis makil yallo orkor norir.,He/she has a sword from which orcs run.,1.5,,"sam-, makil, ya, -(e)llo, orko, nor-"
Tíran i hesto orkoron yenna i orkor menir.,I am watching the captain of orcs to whom the orcs go.,1.5,,"tir-, hesto, orko, ye, -(e)nna, men-"
Eldar lorir i (“the”) tauressë i (“that”) orkor kirir.,Elves sleep in the forest that orcs cut.,1.5,,"elda, lor-, taurë, orko, kir-"
Atani tuvir i taurë yassë i eldar lorir.,Men find the forest where [= in which] the elves sleep.,1.5,,"atan, tuv-, taurë, ya, -(e)ssë, elda, lor-"
Eldar nórar i orkollon i kírar i taurë.,Elves are running from the orcs who are cutting the forest.,1.5,,"elda, nor-, orko, -(e)llo, kir-, taurë"
Atani ar naukor ménar i taurenna yallo i eldar norir.,Men and dwarves are going to the forest from which the elves run.,1.5,,"atan, ar, nauko, men-, taurë, -(e)nna, ya, -(e)llo, elda, nor-"
I rotto latë nu oron.,The cave lies (is situated) under a mountain.,2.2,,"rotto, lat-, oron"
Elda séra i opelessë.,An elf is resting/tarrying in the village.,2.2,,"elda, ser-, opele, -(e)ssë"
Tië tulyanë i atan i nórenna.,A road led the man to the country.,2.2,,"tië, tul-, atan, nórë, -(e)nna"
I men menë oialë.,The way goes forever.,2.2,,"men, men-, oialë"
