quenya,english,type,eldamo-link,other-links
aiwë,bird,n,1.2.1,
aran,king,n,1.2.1,
atan,man (human being),n,1.2.1,
köa,house,n,1.2.1,
elda,elf,n,1.2.1,
elen,star,n,1.2.1,
hesto,captain,n,1.2.1,
orko,orc,n,1.2.1,
makil,sword,n,1.2.1,
nauko,dwarf,n,1.2.1,
osto,city,n,1.2.1,
taurë,forest,n,1.2.1,
kir-,to cut,v,1.2.2,
lor-,to sleep,v,1.2.2,
mat-,to eat,v,1.2.2,
men-,to go,v,1.2.2,
nor-,to run,v,1.2.2,
sam-,to have,v,1.2.2,
sil-,to shine,v,1.2.2,
tir-,to watch,v,1.2.2,
tuv-,"to find, discover",v,1.2.2,
ni,me (object),pron,1.2.3,
lye,you (object),pron,1.2.3,
se,"him, her (object)",pron,1.2.3,
-n(yë),I (subject),suf,1.2.3,
-l(yë),you (subject),suf,1.2.3,
-s(së),"he, she (subject)",suf,1.2.3,
-(i)nya,my,suf,1.2.3,
-(e)lya,your,suf,1.2.3,
-(r)ya,"his, her",suf,1.2.3,
alkarin,glorious,adj,1.2.4,
halla,tall,adj,1.2.4,
linquë,wet,adj,1.2.4,
linta,swift,adj,1.2.4,
luinë,blue,adj,1.2.4,
mai,well,adv,1.2.4,
melda,"dear, beloved",adj,1.2.4,
oialë,forever,adv,1.2.4,
palan,far,"adj, adv",1.2.4,
qualin,dead,adj,1.2.4,
sí,now,adv,1.2.4,
turka,strong (physically),adj,1.2.4,
ambo,hill,n,1.2.5,
anga,iron,n,1.2.5,
menel,"the sky, the heavens",n,1.2.5,
mindon,tower,n,1.2.5,
rotto,"cave, tunnel",n,1.2.5,
telumë,roof,n,1.2.5,
et,out (of),prep,1.2.5,
mi,in,prep,1.2.5,
nu,"under, beneath",prep,1.2.5,
or,above,prep,1.2.5,
ve,"as, like",prep,1.2.5,
ú,without,prep,1.2.5,
-(e)nna,to(ward),suf,1.2.5,
-(e)llo,(away) from,suf,1.2.5,
-(e)ssë,"at, in, or",suf,1.2.5,
ar,and,conj,1.2.6,
hya,or,conj,1.2.6,
i,"who, which, that (indeclinable relative)",pron,1.2.6,
mal,but,conj,1.2.6,
ma,something,pron,1.2.6,
mo,someone,pron,1.2.6,
ya,"which, that (impersonal relative)",pron,1.2.6,
ye,"who, that (personal relative)",pron,1.2.6,
-(e)lva,our,pron,1.4,
lúmë,"hour, period of time",n,1.4,
omentië,meeting,n,1.4,
ailin,lake,n,2.1.4,
ambar,world,n,2.1.4,
ambo,hill,n,2.1.4,
endórë,middle-earth,n,2.1.4,
mindon,tower,n,2.1.4,
nan(do),valley,n,2.1.4,
noirë,tomb,n,2.1.4,
nór,(dry) land,n,2.1.4,
nórë,"country, land, nation",n,2.1.4,
opelë,village,n,2.1.4,
oron (oront-),mountain,n,2.1.4,
osto,city,n,2.1.4,
rotto,"cave, tunnel",n,2.1.4,
sinomë,"here, this place",adv,2.1.4,
sírë (síri-),river,n,2.1.4,
tanomë,"there, that place",adv,2.1.4,
taurë,forest,n,2.1.4,
kelu-,to flow (forth),v,2.2.1,
fara-,to hunt,v,2.2.1,
har-,"to sit, stay",v,2.2.1,
haru-,to sit down,v,2.2.1,
lelya-,to travel,v,2.2.1,
tar-,to stand,v,2.2.1,
tolu-,to stand up,v,2.2.1,
tul-,to come,v,2.2.1,
kaita-,"to lie (down); to lay, place",v,2.2.1,
ara,"beside, next to, by",prep,2.2.5,
mallë,street,n,2.2.5,
men,way,n,2.2.5,
raxa,wagon,n,2.2.5,
tië,"path, road",n,2.2.5,
yanta,bridge,n,2.2.5,
anya-,"to reach, arrive at",v,2.2.5,
auta-,"to go (away), depart",v,2.2.5,
har-,"to sit, stay",v,2.2.5,
haru-,to sit down,v,2.2.5,
lat-,"to extend, be situated, lie (of places)",v,2.2.5,
lelya-,to travel,v,2.2.5,
mar-,"to live, dwell",v,2.2.5,
men-,to go (generally),v,2.2.5,
menta-,to send,v,2.2.5,
ser-,"to rest, tarry",v,2.2.5,
tar-,to stand,v,2.2.5,
tolu-,to stand up,v,2.2.5,
tul-,to come,v,2.2.5,
tulta-,"to send (for), summon",v,2.2.5,
tulya-,"to bring, lead",v,2.2.5,
atan,man (human being),n,2.3.3,
elda,elf,n,2.3.3,
hína,child,n,2.3.3,
lië,people,n,2.3.3,
meldë,(close) friend (f.),n,2.3.3,
meldo,(close) friend,n,2.3.3,
nauko,dward,n,2.3.3,
nér (ner-),man (male),n,2.3.3,
nettë,girl,n,2.3.3,
nís (niss-),woman,n,2.3.3,
orko,orc,n,2.3.3,
perian (periand-),halfling,n,2.3.3,
quén (quen-),person,n,2.3.3,
quen(dë),elf (a technical term only),n,2.3.3,
seldo,boy,n,2.3.3,
vendë,maiden,n,2.3.3,
aiqua,steep,adj,2.3.3,
anda,long,adj,2.3.3,
fimbë (fimbi-),thin,adj,2.3.3,
halla,tall,adj,2.3.3,
höa,"big, large",adj,2.3.3,
lára,flat,adj,2.3.3,
lauka,warm,adj,2.3.3,
lenka,slow,adj,2.3.3,
linta,swift,adj,2.3.3,
mára,"good, useful",adj,2.3.3,
náha,narrow,adj,2.3.3,
nitya,little,adj,2.3.3,
núra,deep,adj,2.3.3,
polda,"big and strong, burly",adj,2.3.3,
quilda,quiet,adj,2.3.3,
raika,crooked,adj,2.3.3,
senna,short,adj,2.3.3,
téra,straight,adj,2.3.3,
tiuka,"thick, fat",adj,2.3.3,
turka,strong (physically),adj,2.3.3,
turwa,"powerful, strong (abstractly)",adj,2.3.3,
tyelka,hasty,adj,2.3.3,
urra,bad,adj,2.3.3,
yána,wide,adj,2.3.3,
kirya,ship,n,2.4.4,
kiryamo,sailor,n,2.4.4,
ëar,sea,n,2.4.4,
falassë,"shore, surf",n,2.4.4,
falma,wave,n,2.4.4,
hresta,"beach, shore",n,2.4.4,
londë,"haven, harbour",n,2.4.4,
luntë,boat,n,2.4.4,
lut-,"to float, sail",v,2.4.4,
tol(lë),island,n,2.4.4,
tyulma,mast,n,2.4.4,
vingë,foam,n,2.4.4,
anar (anár-),sun,n,2.4.4,
kal-,to shine,v,2.4.4,
elen,star,n,2.4.4,
fanya,cloud,n,2.4.4,
fanyarë,"the skies, upper airs",n,2.4.4,
hwesta,breeze,n,2.4.4,
isil,moon,n,2.4.4,
lumbo,(dark) cloud,n,2.4.4,
menel,"sky, the heavens",n,2.4.4,
sil-,to shine (white),v,2.4.4,
súrë (súri-),wind,n,2.4.4,
vil-,to fly,v,2.4.4,
vilya,"air, (lower) sky",n,2.4.4,
mailë,lust,n,2.5.2,
mel-,to love (deeply),v,2.5.2,
melda,"dead, beloved",adj,2.5.2,
meldë,(close) friend (f.),n,2.5.2,
meldo,(close) friend (m.),n,2.5.2,
melindo,lover (m.),n,2.5.2,
melissë,lover (f.),n,2.5.2,
melmë,love,n,2.5.2,
nil-,"to love, have care for",v,2.5.2,
nilmë,friendship,n,2.5.2,
nildë,(casual) friend (f.),n,2.5.2,
nildo,(casual) friend (m.),n,2.5.2,
yermë,sexual desire,n,2.5.2,
amil(lë),mother,n,2.5.2,
atar,father,n,2.5.2,
háno,brother,n,2.5.2,
hildë (hildi-),heir,n,2.5.2,
nésa,sister,n,2.5.2,
nos(së),"(extended) family, clan, kindred",n,2.5.2,
nostar,parent,n,2.5.2,
nosta-,to give birth,v,2.5.2,
onta-,"to beget, create",v,2.5.2,
orendë,(nnuclear) family,n,2.5.2,
veri,wife,n,2.5.2,
veru,husband,n,2.5.2,
veryanwë,wedding,n,2.5.2,
vesta,"matrimony, marriage",n,2.5.2,
vesta-,"to wed, marry",v,2.5.2,
vinimo,baby,n,2.5.2,
yeldë,daughter,n,2.5.2,
yondo,son,n,2.5.2,
sinomë,"here, this place",adv,2.6,
tenna,until,prep,2.6,
metta,"ending, end",n,2.6,
anta-,"to give, present (with instrumental)",v,3.1.3,
essë,name,n,3.1.3,
esta-,to name,v,3.1.3,
henta-,"to read, scan",v,3.1.3,
hyalin,paper,n,3.1.3,
lambë,language,n,3.1.3,
lúmequenta,history,n,3.1.3,
nyar-,"to tell, recite",v,3.1.3,
nyárë,"tale, account",n,3.1.3,
óma,voice,n,3.1.3,
parma,book,n,3.1.3,
quenta,story,n,3.1.3,
quet-,"to say, speak",v,3.1.3,
quetta,word,n,3.1.3,
sarmë,writing,n,3.1.3,
tek-,to write,v,3.1.3,
tekil,pen,n,3.1.3,
tehta,"written mark, diacritic",n,3.1.3,
tengwa,letter (of the alphabet),n,3.1.3,
yal-,"to summon, call",v,3.1.3,
fëa,"spirit, soul",n,3.2.5,
lairë,poem,n,3.2.5,
lilta-,to dance,v,3.2.5,
lindalë,music,n,3.2.5,
lindo,singer,n,3.2.5,
lir-,to sing,v,3.2.5,
liru-,to sing (gaily),v,3.2.5,
lírë (líri-),song,n,3.2.5,
nandë,harp,n,3.2.5,
nyellë,bell,n,3.2.5,
róma,horn (musical),n,3.2.5,
simpa,flute,n,3.2.5,
tompa,drum,n,3.2.5,
a,oh,interj,3.3.4,
á,(request/command),particle,3.3.4,
ai,"ah, alas",interj,3.3.4,
aiya,hail,interj,3.3.4,
kar-,"to do, make",v,3.3.4,
ela,behold,interj,3.3.4,
fasta-,to please,v,3.3.4,
hanta-,to thank / give thanks,v,3.3.4,
ma,(question word),adv,3.3.4,
márië,"well, happily; goodness, happiness","adv, n",3.3.4,
márienna,to happiness (farewell),interj,3.3.4,
máriessë,in happiness (greeting),interj,3.3.4,
mekin,please,adv,3.3.4,
mer-,"to hope, wish, want",v,3.3.4,
ná,yes,interj,3.3.4,
namárië,farewell,interj,3.3.4,
tar,"honorific, sir, madam",n,3.3.4,
ui,no,interj,3.3.4,
yé,lo,interj,3.3.4,
ambarónë,dawn,n,3.4.4,
andúnë,sunset; the West,n,3.4.4,
arin,morning,n,3.4.4,
aurë,day(time),n,3.4.4,
ken-,"to see, look",v,3.4.4,
enar,tomorrow,n,3.4.4,
lómë,night,n,3.4.4,
nöa,yesterday,n,3.4.4,
ré,day (24 hours),n,3.4.4,
síra,today,n,3.4.4,
undómë,"twilight, dusk",n,3.4.4,
amba,up(wards),adv,3.4.4,
formen,north,n,3.4.4,
forya,right (hand),adj,3.4.4,
haira,"far, remote",adj,3.4.4,
haiya,far away,adv,3.4.4,
hyarmen,south,n,3.4.4,
hyarya,left (hand),adj,3.4.4,
númen,west,n,3.4.4,
öa,away,adv,3.4.4,
orya-,to rise,v,3.4.4,
rómen,east,n,3.4.4,
undu,"down, beneath",adv,3.4.4,
vanwa,"lost, gone",adj,3.5,
Valimar,Home of the Valar,loc,3.5,
hir-,to find,v,3.5,
harma,treasure,n,4.1.4,
leuka,snake,n,4.1.4,
lúva,"bow, bend",n,4.1.4,
man,who,pron,4.1.4,
nólë,"lore, knowledge",n,4.1.4,
saila,wise,adj,4.1.4,
telko,leg; stem,n,4.1.4,
téma,"series, row, line",n,4.1.4,
tyellë,"grade, step (of ladder/stairs)",n,4.1.4,
urulókë,(fire) dragon,n,4.1.4,
ambos (ambor-),chest,n,4.2.4,
axo,bone,n,4.2.4,
hón (hom-),heart (physical),n,4.2.4,
hröa,body,n,4.2.4,
leper,finger,n,4.2.4,
má,hand,n,4.2.4,
pirë,toe,n,4.2.4,
ranko (ranku-),arm,n,4.2.4,
serkë (serki-),blood,n,4.2.4,
súma,bosom,n,4.2.4,
tál (tal-),foot; bottom,n,4.2.4,
telko,leg; stem,n,4.2.4,
karnë (karni-),red,adj,4.2.4,
kuluina,"orange, golden-red",adj,4.2.4,
fána,white,adj,4.2.4,
laika,green,adj,4.2.4,
laurëa,golden (light or colour),adj,4.2.4,
